"_id","time_local","remote_addr","request_method","http_user_agent","request_uri","http_referer","status","request_time","body_bytes_sent","score","model_version","user_agent_os","user_agent_browser","user_agent_device","request_uri_length","class"
"666411e46056afecee60f7b3","08/Jun/2024:08:10:12 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/116.0.1938.72 Version/17.0 Mobile/15E148 Safari/604.1","/status/200","-",200.0,0.002,0.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411e66056afecee60f7b4","08/Jun/2024:08:10:14 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delay/2","-",200.0,2.004,440.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e76056afecee60f7b5","08/Jun/2024:08:10:15 +0000","172.20.0.1","POST","Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) EdgiOS/121.0.2277.107 Version/17.0 Mobile/15E148 Safari/604.1","/delay/1","-",200.0,1.004,472.0,-1.0,0.0,"iOS","Edge Mobile","iPhone","",0
"666411e76056afecee60f7b6","08/Jun/2024:08:10:15 +0000","172.20.0.1","DELETE","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/delete","-",200.0,0.005,456.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e76056afecee60f7b7","08/Jun/2024:08:10:15 +0000","172.20.0.1","PATCH","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/patch","-",200.0,0.004,455.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e76056afecee60f7b8","08/Jun/2024:08:10:15 +0000","172.20.0.1","DELETE","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1","/status/200","-",200.0,0.001,0.0,-1.0,0.0,"iOS","Mobile Safari","iPhone","",0
"666411e76056afecee60f7b9","08/Jun/2024:08:10:15 +0000","172.20.0.1","POST","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/404","-",404.0,0.001,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e76056afecee60f7ba","08/Jun/2024:08:10:15 +0000","172.20.0.1","GET","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0","/status/400","-",400.0,0.002,0.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e86056afecee60f7bb","08/Jun/2024:08:10:16 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 GLS/100.10.9415.94","/delay/1","-",200.0,1.004,459.0,-1.0,0.0,"Windows","Edge","Other","",0
"666411e86056afecee60f7bc","08/Jun/2024:08:10:16 +0000","172.20.0.1","PUT","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36 Edg/121.0.0.0 Unique/97.7.7286.70","/put","-",200.0,0.003,473.0,-1.0,0.0,"Windows","Edge","Other","",0
